character_name,rarity,region,vision,arkhe,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6
Thoma,4,Inazuma,Pyro,N/A,Polearm,Tall Male,Rubeum Scutum,9-Jan,"""Warmth""",Yashiro Commission,10/02/21,FALSE,Christian Banas,Pei Zhang (??),Masakazu Morita (????),Ryu Seung-gon (???),ATK,Fluorescent Fungus,Treasure Hoarder Insignia,Smoldering Pearl,Treasure Hoarder Insignia,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,10331,202,751,9616,188,699,9156,179,665,8440,165,613,7981,156,580,7266,142,528,6806,133,495,6091,119,443,5478,107,398,4762,93,346,4302,84,313,2872,56,209,2225,43,162,866,17,63,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Tighnari,5,Sumeru,Dendro,N/A,Bow,Medium Male,Vulpes Zerda,29-Dec,Forest Watcher's Choice,Gandharva Ville,08/24/22,FALSE,Zachary Gordon,Moran (??),Kobayashi Sanae (?? ??),Jung Ui-taek (???),Dendro DMG Bonus,Nilotpala Lotus,Fungal Spores,Majestic Hooked Beak,Fungal Spores,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,The Meaning of Aeons,10849,267,630,10087,249,585,9572,236,556,8815,217,512,8301,204,482,7552,186,438,7038,173,408,6296,155,365,5610,138,325,4876,120,283,4362,107,253,2915,71,169,2191,54,127,844,20,49,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Venti,5,Mondstadt,Anemo,N/A,Bow,Medium Male,Carmen Dei,16-Jun,A Buoyant Breeze,Mondstadt,09/28/20,TRUE,Erika Harlacher,Miaojiang (??),Ayumu Murase (???),Jung Yoo-jung (???),Energy Recharge,Cecilia,Slime Condensate,Hurricane Seed,Slime Condensate,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tail of Boreas,10531,263,669,9790,245,622,9292,232,590,8557,214,543,8058,201,512,7331,183,465,6832,171,434,6112,153,388,5446,136,346,4734,118,301,4234,106,269,2830,71,180,2127,53,135,820,20,52,0.0%,0.0%,8.0%,16.0%,16.0%,24.0%,32.0%
Wanderer,5,Sumeru,Anemo,N/A,Catalyst,Medium Male,Peregrinus,3-Jan,Shimi Chazuke,None,12/07/22,TRUE,Patrick Pedraza,Luyin (??),Kakihara Tetsuya (?? ??),Min Seung-woo (???),CRIT Rate,Rukkhashava Mushrooms,Old Handguard,Perpetual Caliber,Old Handguard,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Daka's Bell,10164,327,607,9449,304,564,8967,289,535,8258,266,493,7776,250,464,7075,228,422,6593,212,393,5898,190,352,5256,169,313,4568,147,272,4086,131,244,2730,88,163,2052,66,122,791,25,47,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Wriothesley,5,Fontaine,Cryo,Ousia,Catalyst,Tall Male,Cerberus,23-Nov,Special Sauce BBQ Ribs,Fortress of Meropide,10/17/23,TRUE,Joe Zieja,Liu Beichen (???),Ono Daisuke (????),Kwon Chang-wook (???),CRIT DMG,Subdetection Unit,Meshing Gear,"""Tourbillon Device""",Meshing Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Primordial Greenbloom,13592,310,763,12637,289,709,11992,274,673,11044,252,620,10399,237,583,9462,216,531,8817,201,495,7888,180,442,7029,160,394,6109,139,343,5464,125,306,3652,83,205,2744,62,154,1058,24,59,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Xiangling,4,Liyue,Pyro,N/A,Polearm,Medium Female,Trulla,2-Nov,Wanmin Restaurant's Boiled Fish,Wanmin Restaurant,09/28/20,FALSE,Jackie Lastra,Xiao N (?N),Ari Ozawa (????),Yun A-yeong (???),Elemental Mastery,Jueyun Chili,Slime Condensate,Everflame Seed,Slime Condensate,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Dvalin's Claw,10875,225,669,10122,210,623,9638,200,593,8885,184,546,8401,174,517,7648,158,470,7164,148,441,6411,133,394,5766,119,355,5013,104,308,4529,94,279,3024,63,186,2342,48,144,912,19,56,0.0,0.0,24.0,48.0,48.0,72.0,96.0
Xiao,5,Liyue,Anemo,N/A,Polearm,Medium Male,Alatus Nemeseos,17-Apr,"""Sweet Dream""",Liyue Adeptus,02/03/21,TRUE,Laila Berzins,kinsen,Yoshitsugu Matsuoka (????),Sim Kyu-hyuk (???),CRIT Rate,Qingxin,Slime Condensate,Juvenile Jade,Slime Condensate,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Shadow of the Warrior,12736,349,799,11840,325,743,11236,308,705,10348,284,649,9744,267,612,8866,243,556,8262,227,519,7391,203,464,6586,181,413,5724,157,359,5120,141,321,3422,94,215,2572,71,161,991,27,62,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Xingqiu,4,Liyue,Hydro,N/A,Sword,Medium Male,Fabulae Textile,9-Oct,All-Delicacy Parcels,Feiyun Commerce Guild,09/28/20,FALSE,Cristina Vee Valenzuela,Yajing Tang (???),Junko Minagawa (????),Gwak Gyu-mi (???),ATK,Silk Flower,Damaged Mask,Cleansing Heart,Damaged Mask,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tail of Boreas,10223,202,758,9515,188,705,9060,179,671,8352,165,619,7897,156,585,7190,142,533,6735,133,499,6027,119,447,5420,107,402,4712,93,349,4257,84,316,2842,56,211,2202,43,163,857,17,64,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Xinyan,4,Liyue,Pyro,N/A,Claymore,Medium Female,Fila Ignium,16-Oct,Rockin' Riffin' Chicken!,"""The Red Strings""",12/01/20,FALSE,Laura Stahl,Yaxin Wang (???),Chiaki Takahashi (??????),Kim Chae-ha (???),ATK,Violetgrass,Treasure Hoarder Insignia,Everflame Seed,Treasure Hoarder Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,11201,249,799,10425,231,743,9927,220,708,9151,203,652,8653,192,617,7878,175,562,7379,164,526,6604,147,471,5939,132,423,5163,115,368,4665,103,333,3114,69,222,2413,54,172,939,21,67,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Yae Miko,5,Inazuma,Electro,N/A,Catalyst,Tall Female,Divina Vulpes,27-Jun,Fukuuchi Udon,Grand Narukami Shrine,02/16/22,TRUE,Ratana,Mingya Du (???),Ayane Sakura (????),Moon Yoo-jeong (???),CRIT Rate,Sea Ganoderma,Old Handguard,Dragonheir's False Fin,Old Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,The Meaning of Aeons,10372,340,569,9643,316,529,9151,300,502,8428,276,462,7936,260,435,7220,236,396,6729,220,369,6020,197,330,5364,176,294,4662,153,256,4170,137,229,2787,91,153,2065,69,115,807,26,44,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Yanfei,4,Liyue,Pyro,N/A,Catalyst,Medium Female,Bestia Iustitia,28-Jul,"""My Way""",Yanfei Legal Consultancy,04/28/21,FALSE,Lizzie Freeman,Ziwu Su (???),Yumiri Hanamori (?? ???),Cho Kyung-yi (???),Pyro DMG Bonus,Noctilucous Jade,Treasure Hoarder Insignia,Juvenile Jade,Treasure Hoarder Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Bloodjade Branch,9352,240,587,8705,223,546,8289,213,520,7641,196,480,7225,185,453,6578,169,413,6161,158,387,5514,141,346,4959,127,311,4311,111,271,3895,100,244,2600,67,163,2014,52,126,784,20,49,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Yaoyao,4,Liyue,Dendro,N/A,Polearm,Short Female,Osmanthus,6-Mar,Qingce Household Dish,Streetward Rambler's Abode,01/18/23,FALSE,Kelsey Jaffer,Liu Yinuo (???),Kadowaki Mai (????),Yu Hye-ji (???),HP,Jueyun Chili,Slime Condensate,Quelled Creeper,Slime Condensate,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Daka's Bell,12288,212,750,11437,197,698,10890,188,665,10039,173,613,9492,164,579,8642,149,528,8095,139,494,7244,125,442,6515,112,398,5664,97,346,5117,88,312,3416,59,208,2646,45,161,1030,17,62,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Yelan,5,Liyue,Hydro,N/A,Bow,Tall Female,Umbrabilis Orchis,20-Apr,Dew-Dipped Shrimp,Yanshang Teahouse,05/31/22,TRUE,Laura Post,Xu Hui (??),Endou Aya (?? ?),Min-a (??),CRIT Rate,Starconch,Recruit's Insignia,Runic Fang,Recruit's Insignia,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Gilded Scale,14450,244,548,13434,227,509,12749,215,483,11741,198,445,11056,187,419,10059,170,381,9374,158,355,8386,142,318,7472,126,283,6495,110,246,5810,98,220,3883,66,147,2918,49,111,1125,19,43,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Yoimiya,5,Inazuma,Pyro,N/A,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,08/10/21,TRUE,Jenny Yokobori,Na Jin (??),Kana Ueda (????),Bak Sin-hee (???),CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Divining Scroll,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Dragon Lord's Crown,10164,323,615,9450,300,572,8968,285,542,8259,262,500,7777,247,470,7075,225,428,6593,209,399,6899,187,357,5256,167,318,4568,145,276,4086,130,318,2731,87,165,2053,65,124,791,25,48,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Yunjin,4,Liyue,Geo,N/A,Polearm,Medium Female,Opera Grandis,21-May,Cloud-Shrouded Jade,Yun-Han Opera House,01/05/22,FALSE,"Judy Alice Lee, Yang Yang (??)","Wenxiao He (???), Yang Yang (??)","Koiwai Kotori (??????), Yang Yang (??)","Sa Mun-yeong (???), Yang Yang (??)",Energy Recharge,Glaze Lily,Damaged Mask,Riftborn Regalia,Damaged Mask,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Ashen Heart,10657,191,734,9919,178,684,9445,169,651,8707,156,600,8233,148,567,7495,134,517,7021,126,484,6283,113,433,5651,101,389,4913,88,339,4438,80,306,2963,53,204,2296,41,156,894,16,62,0.0%,0.0%,6.7%,13.3%,13.3%,20.0%,26.7%
Zhongli,5,Liyue,Geo,N/A,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,12/01/20,TRUE,Keith Silverstein,Bo Peng (??),Tomoaki Maeno (????),Pyo Yeong-jae (???),Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Slime Condensate,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,14695,251,738,13662,233,686,12965,222,651,11940,204,599,11243,192,564,10230,175,514,9533,163,479,8528,146,428,7599,130,382,6605,113,332,5908,101,297,3948,67,198,2967,51,149,1144,20,57,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
